District,School,Category,NonLikert Title,NL_Value,Z-Score,B_MCIEA,B_Expert,B_ExpertDesc,NL_DataType
Winchester,Lynch Elementary School,1-B-ii,Professional development spending per teacher,1598,-0.3534,2052,,,$
Winchester,Lynch Elementary School,2-A-i,Violent incidents per student,0,-0.3605,0.02,,,
Winchester,Lynch Elementary School,2-C-i,Average daily attendance,96.5,0.3664,94.57,,,%
Winchester,Lynch Elementary School,2-C-i,Chronic absence rate,21.8,0.2307,18.06,,,%
Winchester,Lynch Elementary School,3-A-i,Average class size,19,0.0234,18.92,,,
Winchester,Lynch Elementary School,3-A-i,Student to technology ratio,1,-0.1266,1.08,,,
Winchester,Lynch Elementary School,3-A-ii,Student to art teacher ratio,546,0.2928,472.08,,,
Winchester,Lynch Elementary School,3-A-ii,Student to counselor ratio,,,365.89,,,
Winchester,Lynch Elementary School,3-A-ii,Student to instructional support staff ratio,182,-0.2334,236.29,,,
Winchester,Lynch Elementary School,5-C-i,Hours of arts instruction per student per week,,,1.52,,,
Winchester,Lynch Elementary School,5-D-ii,Medical staff to student ratio,546,-0.1301,577.41,,,
Winchester,Muraco Elementary School,1-A-i,Percentage teachers teaching in area of licensure,100,0.3093,99.81,,,%
Winchester,Muraco Elementary School,1-A-i,Percentage teachers with 5+ years of experience,,,67.41,,,%
Winchester,Muraco Elementary School,1-A-i,Percentage teachers National Board certified,,,1.91,,,%
Winchester,Muraco Elementary School,1-B-i,Percent teacher returning (excluding retirement),96,0.5096,92.26,,,%
Winchester,Muraco Elementary School,1-B-ii,Professional development spending per teacher,1598,-0.3534,2052,,,$
Winchester,Muraco Elementary School,2-A-i,Violent incidents per student,0,-0.3605,0.02,,,
Winchester,Muraco Elementary School,2-C-i,Average daily attendance,96.9,0.4422,94.57,,,%
Winchester,Muraco Elementary School,2-C-i,Chronic absence rate,15.5,-0.1583,18.06,,,%
Winchester,Muraco Elementary School,3-A-i,Average class size,18,-0.2776,18.92,,,
Winchester,Muraco Elementary School,3-A-i,Student to technology ratio,1,-0.1266,1.08,,,
Winchester,Muraco Elementary School,3-A-ii,Student to art teacher ratio,404,-0.2696,472.08,,,
Winchester,Muraco Elementary School,3-A-ii,Student to counselor ratio,,,365.89,,,
Winchester,Muraco Elementary School,3-A-ii,Student to instructional support staff ratio,202,-0.1474,236.29,,,
Winchester,Muraco Elementary School,5-C-i,Hours of arts instruction per student per week,,,1.52,,,
Winchester,Muraco Elementary School,5-D-ii,Medical staff to student ratio,404,-0.7184,577.41,,,
Winchester,Vinson-Owen Elementary School,1-A-i,Percentage teachers teaching in area of licensure,100,0.3093,99.81,,,%
Winchester,Vinson-Owen Elementary School,1-A-i,Percentage teachers with 5+ years of experience,78,0.7646,67.41,,,%
Winchester,Vinson-Owen Elementary School,1-A-i,Percentage teachers National Board certified,,,1.91,,,%
Winchester,Vinson-Owen Elementary School,1-B-i,Percent teacher returning (excluding retirement),98,0.7822,92.26,,,%
Winchester,Vinson-Owen Elementary School,1-B-ii,Professional development spending per teacher,1598,-0.3534,2052,,,$
Winchester,Vinson-Owen Elementary School,2-A-i,Violent incidents per student,0,-0.3605,0.02,,,
Winchester,Vinson-Owen Elementary School,2-C-i,Average daily attendance,96.6,0.3853,94.57,,,%
Winchester,Vinson-Owen Elementary School,2-C-i,Chronic absence rate,18.1,0.0022,18.06,,,%
Winchester,Vinson-Owen Elementary School,3-A-i,Average class size,19,0.0234,18.92,,,
Winchester,Vinson-Owen Elementary School,3-A-i,Student to technology ratio,1,-0.1266,1.08,,,
Winchester,Vinson-Owen Elementary School,3-A-ii,Student to art teacher ratio,422,-0.1983,472.08,,,
Winchester,Vinson-Owen Elementary School,3-A-ii,Student to counselor ratio,,,365.89,,,
Winchester,Vinson-Owen Elementary School,3-A-ii,Student to instructional support staff ratio,211,-0.1087,236.29,,,
Winchester,Vinson-Owen Elementary School,5-C-i,Hours of arts instruction per student per week,,,1.52,,,
Winchester,Vinson-Owen Elementary School,5-D-ii,Medical staff to student ratio,422,-0.6438,577.41,,,
